                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0332,                 1.9704,                 1.1593,                0.34951,                0.45439,                0.34837,                0.25237,                 1.1787,                 1.8163,                 1.2223,               0.066793,              3.324e-05,              3.324e-05
                      2,                0.92628,                  1.464,                 1.1224,                 0.5339,                0.49133,                0.47157,                0.35338,                 1.0953,                 1.5377,                 1.1622,               0.033491,             6.4377e-05,             6.4377e-05
                      3,                0.86976,                 1.2791,                 1.0898,                0.60977,                0.59882,                0.58604,                0.43671,                 1.0177,                 1.3247,                 1.1004,             0.00018616,             9.3313e-05,             9.3313e-05
                      4,                0.84796,                 1.1939,                 1.0768,                0.62251,                0.61913,                0.61612,                0.46452,                 1.0064,                 1.2143,                 1.0929,               9.01e-05,               9.01e-05,               9.01e-05
                      5,                0.81511,                 1.1025,                 1.0605,                0.63908,                0.64825,                0.63874,                0.48627,                0.99363,                 1.2149,                 1.0738,               8.68e-05,               8.68e-05,               8.68e-05
                      6,                0.81104,                 1.0674,                  1.057,                0.68173,                0.65033,                0.67014,                0.51129,                0.97044,                 1.1514,                 1.0557,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                0.80374,                  1.041,                 1.0499,                0.69809,                0.66179,                0.68673,                0.52199,                0.95963,                  1.096,                 1.0526,               8.02e-05,               8.02e-05,               8.02e-05
                      8,                0.79001,                 1.0005,                 1.0449,                0.70496,                0.66966,                0.70619,                0.53698,                0.96286,                 1.0927,                 1.0565,               7.69e-05,               7.69e-05,               7.69e-05
                      9,                 0.7793,                0.97406,                 1.0436,                0.70001,                0.68478,                0.70598,                0.54069,                0.94507,                 1.0667,                 1.0384,               7.36e-05,               7.36e-05,               7.36e-05
                     10,                0.76489,                  0.951,                 1.0314,                0.68179,                0.68727,                0.70719,                0.53993,                0.94738,                 1.0629,                 1.0427,               7.03e-05,               7.03e-05,               7.03e-05
                     11,                0.75925,                0.93085,                 1.0292,                0.74188,                0.66526,                0.72019,                0.55196,                0.93806,                 1.0042,                 1.0361,                6.7e-05,                6.7e-05,                6.7e-05
                     12,                0.75396,                0.91133,                 1.0271,                0.72691,                0.68889,                0.72391,                0.55493,                0.94248,                 1.0314,                 1.0363,               6.37e-05,               6.37e-05,               6.37e-05
                     13,                0.75568,                0.90701,                 1.0279,                0.72911,                0.68728,                0.72686,                0.56161,                0.92983,                 1.0144,                  1.033,               6.04e-05,               6.04e-05,               6.04e-05
                     14,                0.74007,                0.88074,                 1.0192,                0.73287,                0.68247,                0.72123,                0.55935,                0.93194,                 1.0034,                 1.0293,               5.71e-05,               5.71e-05,               5.71e-05
                     15,                0.74715,                0.88183,                 1.0199,                0.73748,                0.69432,                0.73409,                0.56935,                0.91183,                0.97362,                 1.0201,               5.38e-05,               5.38e-05,               5.38e-05
                     16,                0.74625,                0.88517,                 1.0225,                 0.7354,                 0.6934,                 0.7326,                0.56566,                0.91827,                0.97866,                 1.0282,               5.05e-05,               5.05e-05,               5.05e-05
                     17,                0.74163,                0.86699,                 1.0198,                0.74399,                0.69806,                0.73108,                0.56864,                0.91445,                0.96596,                 1.0208,               4.72e-05,               4.72e-05,               4.72e-05
                     18,                0.73741,                 0.8547,                 1.0188,                0.74435,                0.69861,                0.73591,                0.57322,                 0.9134,                0.96047,                  1.024,               4.39e-05,               4.39e-05,               4.39e-05
                     19,                0.72951,                0.85251,                 1.0137,                0.73839,                0.69802,                0.73608,                 0.5714,                 0.9095,                0.97036,                 1.0126,               4.06e-05,               4.06e-05,               4.06e-05
                     20,                0.72137,                0.83816,                 1.0113,                0.76129,                0.69817,                0.74741,                 0.5795,                0.89562,                0.94686,                 1.0127,               3.73e-05,               3.73e-05,               3.73e-05
                     21,                0.77196,                0.90668,                 1.0621,                 0.7414,                0.70689,                0.74369,                0.57314,                0.90259,                0.95333,                 1.0125,                3.4e-05,                3.4e-05,                3.4e-05
                     22,                0.76674,                0.87234,                 1.0603,                0.73052,                0.70938,                0.74616,                0.58172,                0.88745,                0.93448,                 1.0105,               3.07e-05,               3.07e-05,               3.07e-05
                     23,                0.76078,                0.85332,                 1.0508,                0.74529,                0.71029,                0.74794,                0.58048,                0.89992,                0.93362,                 1.0114,               2.74e-05,               2.74e-05,               2.74e-05
