epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.789,0.9879,3.20801,1.22365,0.45694,0.2964,0.3468,0.26726,1.01316,2.61948,1.13939,0.067046,0.000332868,0.000332868
2,689.14,0.78792,1.86432,1.06709,0.49572,0.54423,0.50374,0.38844,0.99848,1.56386,1.12328,0.0340196,0.00063982,0.00063982
3,1025.53,0.74024,1.40774,1.04206,0.71348,0.58727,0.64856,0.51406,0.99909,1.35416,1.11696,0.000966862,0.000920372,0.000920372
4,1357.37,0.72349,1.21223,1.02987,0.7316,0.64351,0.69896,0.55563,0.94521,1.31049,1.08589,0.0008812,0.0008812,0.0008812
5,1694.67,0.69675,1.11463,1.01765,0.72495,0.66548,0.71003,0.56297,0.91944,1.19971,1.07477,0.0008416,0.0008416,0.0008416
6,2029.41,0.67958,1.04609,1.00636,0.72049,0.68104,0.71978,0.57438,0.91541,1.17512,1.06445,0.000802,0.000802,0.000802
7,2367.08,0.6771,1.00016,1.00139,0.74962,0.71132,0.74939,0.59979,0.89911,1.08707,1.05365,0.0007624,0.0007624,0.0007624
8,2699.12,0.6683,0.96201,1.00105,0.71827,0.72169,0.74852,0.6011,0.90823,1.07603,1.0561,0.0007228,0.0007228,0.0007228
9,3036.18,0.66309,0.92536,0.99346,0.75578,0.72791,0.76905,0.62393,0.88278,1.01551,1.03869,0.0006832,0.0006832,0.0006832
10,3372.01,0.64569,0.89788,0.98775,0.74811,0.74412,0.76485,0.62095,0.89299,1.0475,1.04521,0.0006436,0.0006436,0.0006436
11,3703.02,0.64997,0.88558,0.98355,0.76461,0.74095,0.77348,0.62561,0.86527,0.99916,1.02727,0.000604,0.000604,0.000604
12,4035.05,0.63418,0.85296,0.98116,0.76486,0.74421,0.78249,0.63333,0.86873,0.97183,1.03751,0.0005644,0.0005644,0.0005644
13,4366.18,0.63258,0.83372,0.97564,0.75743,0.75724,0.78293,0.63449,0.87153,0.96134,1.03071,0.0005248,0.0005248,0.0005248
14,4698.08,0.63063,0.82575,0.97563,0.77528,0.75119,0.78789,0.64592,0.85876,0.93049,1.03299,0.0004852,0.0004852,0.0004852
15,5034.3,0.62553,0.81092,0.97261,0.74775,0.76777,0.78712,0.64267,0.8594,0.92893,1.02861,0.0004456,0.0004456,0.0004456
16,5356.19,0.63611,0.94971,1.00484,0.7555,0.75699,0.78261,0.64015,0.86161,0.96553,1.02458,0.000406,0.000406,0.000406
17,5676.91,0.62933,0.91964,1.00156,0.7693,0.74772,0.7879,0.64216,0.86457,0.93229,1.02825,0.0003664,0.0003664,0.0003664
18,5997.26,0.6237,0.90307,0.9991,0.77925,0.7486,0.78936,0.64734,0.84115,0.91698,1.01299,0.0003268,0.0003268,0.0003268
19,6318.53,0.61176,0.87518,0.99008,0.76616,0.76905,0.79143,0.64734,0.85328,0.91276,1.02048,0.0002872,0.0002872,0.0002872
20,6647.36,0.61022,0.85508,0.99255,0.77842,0.76032,0.79819,0.65374,0.85598,0.90236,1.02495,0.0002476,0.0002476,0.0002476
21,6971.97,0.60878,0.84698,0.98811,0.74256,0.77938,0.78991,0.64809,0.85118,0.9166,1.0189,0.000208,0.000208,0.000208
22,7293.81,0.59871,0.82994,0.9848,0.77011,0.77002,0.79924,0.6551,0.84014,0.89863,1.02048,0.0001684,0.0001684,0.0001684
23,7618.17,0.5859,0.80337,0.97713,0.7738,0.76366,0.79642,0.65304,0.84665,0.87935,1.02381,0.0001288,0.0001288,0.0001288
24,7939.84,0.59308,0.7986,0.98193,0.77928,0.75435,0.79938,0.65655,0.83979,0.87169,1.01828,8.92e-05,8.92e-05,8.92e-05
25,8262.53,0.58808,0.80079,0.97851,0.77605,0.7638,0.79671,0.65464,0.83521,0.86923,1.01462,4.96e-05,4.96e-05,4.96e-05
